央视频道,#genre#
CCTV-1综合,http://txycdn3.video.qq.com/1755328502.m3u8?time=1784884305&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgICb_LcjPcPinLp_hk93WwQNKBbG-_hbBfBsRMcAyHOtWEN5FW-emmMv_FdBpxS79YfYBcDs1ZRs7sfYsKo_F7MHkO5r8CdrEOCbubnXGBGe5XXNvW6yplqmVl-qYVzs_0iu2CE44vNCJfp-xz172HOWMEnOw9veYoHAonPHcdaR-qG73DGulioM-Bh3pYrLUQpW-WzTLK50k7hgUrX612LN09q4zAtnN7nFfbB4MbX1tMuHVyPyGIxj_VhnBK9B2HTRl1zcTIzVKwhUGT_KgiNd41qbghlZHLpW7hDeUx7wWM6e-ieRN6PgM1W4N9d9HbbUaHlTfSa0-GgzBAvEI_yvbHrqsVnLnqvfSVhAHkS-JAhZm4txucC9RaHdZoGFiz4eNZwxebgzNuzERqwv6p5FXUHPisBQh9O9ZMjCeNE0wu-URYy56zuTRChhxdy_3fNkeFI3slIhdlIDdbqCIPPcAwwKXCP0YPC5LBv-FJikYlQpl4Mu2nAwN19bswkhTdYcsKWsKcHOnrqUjpqBMU0vbXSSHnvKT-l1jiD5t0c1e-Lqw&drmtype=0
CCTV-1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV-2财经,http://pull-hls-f1.douyincdn.com/media/stream-407987562509501100/playlist.m3u8?keeptime=00093a80&wsSecret=1115e9e400223e495145e4b5a87e247d&wsTime=6a633b3d&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-202607241815256087FC33BC53AE143600-sjhBjy
CCTV-2财经,http://txycdn7.video.qq.com/1370417302.m3u8?time=1784884259&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIFe9bScOZPTh31sqbsGpod8fS5hzHUNW8PQ0Wkh_3B43EK65DbwXikOyNOnGaAdoD3cBcNtd3gLpUnmKCa--sk_vOIM5hh5XCthEZXr_33NxQexGdtxpe7kfKXJhIXHqgAZ0InZROy1M5OMnW1jl7rcHUXgmUmj6AzkNLSM7FiKI4mDgV_76FvuKJKqmj0-aieBOZkM1RyBx22Ma3li4tdPT1hwHtOsPdzOhDaGy59WkyS26ozvElQni3wBWdu558s9hMDVP0Hu1IfO6oOA23CdrXzHn2wem_sOGHpNisfA4WwZXQZxoJZhXL--jx9Q5P-gSdDaGWFQ8mAdEF7jcuNRWvjwyRZysEFLknPkSFevJOurqSlV2GdIk3JPX8_YZQPAoqiIgWHiKmLW91rzrl-Md-mrPhtUZGazEgiZNj6Ub-2PCqE5X_7rOMdnkKwKg2gUmQ8rw6xgOoKkxgfWpTEHQtfhaOsMAC3A-z1NRX6n6F3Skhfl3LKv6cn7NkxrnkvwV7fs_tBkXEon-KO8A8xgvscNfZcbKM4zvy4slrdV6kDkm&drmtype=0
CCTV-3综艺,http://txycdn3.video.qq.com/1370781402.m3u8?time=1784884220&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIPiiUiQPQnogE5gPGKNhSPitJY8cMwWLt5PlVeXuF5JSEKm-WFevV4vbOu8ZvcHfU4sBcGFd7u8HBV65h5FvpxgVfUfMoze4Np_XSpoPOgWF9xjpuHHu-5Ixdilh8B2ELMj5om1o3l93oLosZ24qkS5Wi6Pif0hYNK2fhLKqJy51EJv_JSdIfnVJam1cYmBOwCGpkUU0XFqP6BRRsPNJiFpjLZHoLZJfdHEiY9Z4_BxXr9JzwVVSjs8t-L0N6raJyeN_6Stv3wsI-cUmuM_5gHevWwWnwi8pKFSl80tEbqYRCXjgqmjJKrFE-EW0R4jGze9wG2WbdqgE4-r84JulWhTuCEzdkik7NBMwKnCbu3n6o7_TNQf2EygXF9kShArd0eAiVvHrBb0xfPxrKpw1agNMFZbTtVZuoRr4dtMZvqFozcZFU2_eGfToCSUFQy_ZhELyvFIeuiLNfOjtFirMEvs9oLXpsCIkWykpZLp4nHgxZLXngIKU2JsRXkd2tjFlePIE7uAgaBJiQ5-F7pA1XDSdJawalHoMWwC3oMYifgoniTk6&drmtype=0
CCTV-4中文国际,http://txycdn5.video.qq.com/1755787502.m3u8?time=1784884185&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIKdZd1yAKUfY0AjRyD1jDzXAOaYGKI6oDfvUPM9P7YUBEIE8S04uqGGS4X-Au5w19KABcLPdxSW09hi4xJ0mlAw7ny8uVWfFflEgGVCWcOTO1pA7p-L4KYlzlDrLpvylne5kCOJ_Hs-ODEQyBYc5zQ5lub82XBEXiZwdPwazdLITlbp4f86QtyQpc93-UHSJeaBuVDQpL-I8_DoOuAqZRl1iQhZ8RF9SRySFLkGUffkWQdcBCXsvhdhBn0o7qETGGCDGSMm4WD9nkxgkrhfXJ2e200klNtmjMKNWd32CP3SRuwQ8zw21mDQe7I7h1IFPsXJu0d_EzVh1fS8oddLpZFG8Mrl0YvKbexuca-2SIg6EjCJbPcp9BlIOrY2DPDJ02Wqlm-izZSal_YqD6piwtubeZoWdvy85x_IUsotumlK30o_5v-hR6De35goaypuS6J4zxDqs24qwiilXpPcqG2zpPUMl6DNq1j97wKTZiAFO-nK-1XghfQHt_5_kRPyUXdkiGIMCDeVkaqvuTITKHI5nA-RtGOKqzU7PV0iEi5g-McIR&drmtype=0
CCTV-5体育,http://txycdn5.video.qq.com/1369718502.m3u8?time=1784884142&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgII5EFmJULbUHPXEPI4nz3Rium6H3QOqKxT9poRc4xKGTEPc0_ezV7leMJeeoDXCtn2gBcHq1km1PDLVluwNFib53_YEUYrGwLWo0ymsAWXqIf5h3k-PY4SbDd7gIUlXTO3ivyMEL17iBshCxD1nmx6-sYZzXucffI69N9_pluqfvQKWAahBICtXhQGF_gJoM00frgYCmhGpuM9mUWp_OEVBcSBaR1Zn2mKY6BTeL9K3QvMZY0eaL4gsPvi0MWI6B1-aaAypjhixuSp67MLSOOVZJls7dkbXxm1zL6hDQjXR-5iAr2Y4eNGhrhrHrkxYUukdev6jb8fJA2YJF-JxPEaR5ii_t34D4izzLru5z8b7xyUN9sDJr7t-TaZqBtT6HsRlWCMePgsJLZryyj9035vP7LTIt43NA3rsYuV1vbxNdVCSYxjhvrsUSA4FLcdu9ZIqL6HWNQWnlPr75ZP8TeDHjZJK1wXp8w2hr5K0vjg9D85Bn0VqvyyBDTTDCfU7bReSha4C_xGHyhqMnq9UUYiiL8CQsF05TpbCzti8bNSPZo50n&drmtype=0
CCTV-6电影,http://txycdn4.video.qq.com/1755771402.m3u8?time=1784884102&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIA46yoF5VWQO7cn5BbhdUF9zzxg-dKQYRArXGkQpJ0x_EGn-C6eU1pDBeAi2VpS9ACoBcMyL219g3dE5IPFuIcqe_JNLL9yRcH15bVdsTvqfO-RVgp-skDXRwq0zD5tI-7KxFQjIQE0MHGAs-gzMTPI9AnpFEx2hjCRc9AMfo4GRn15X-nis4_44QucT9mT_RFVGhdOUp9i-_QBHnS_g8mYDhf-UvDJAT7LDGFA7nQ-xCSZT6H2jufzMKDn0dWxxPt-FoQ9-u2PGuOByARJUikxQJBWS1TkelTaVhhzMtLDMH6aeoydxDMSe6NRU3ub4eP8Yf3AXFHneVpkWrdRjP4uVBwQxO4R4eIJ1aYLR2058KZEFkpwa5hdxsvR1Eq9LMrB1TtPloEwSvWhjg1HF-phCsqRSnG7a1QATNJwPwaOzZpIgGJRr6u6sBjAiSrQ761jo98VO7p9bUnXfkyeVzk3adlTlzdGLYLSCX_iWrTWZaZyG0qUc8YxGppg5EftmyOaN82THuOUtP1T5obTplFahmjjJ4QdfwgdG27z7eCZAqPDx&drmtype=0
CCTV-7国防军事,http://txycdn7.video.qq.com/1370436302.m3u8?time=1784884059&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIG--PBvehUzrZLE10SUI-dPNbrVLI5sQRhxCdAB9mThvEJHwGXj_UQWO2u1gE5cvlVYBcKqx5FGjTAywWLA-LeGYgxvzcGKHJw3XzHvVb89XuXfEOx3RcmtisujwkeE39V7Xh6JwtgxZfJgUsN60BbrydkRAKaTaUZYIdjatPeUp3VhG4XhE1yGMz8C88mnK_6CXU3YXhXY8DcInAIbUpe-iXl7skhHocK5M55mIySk41oxJVdXqMZ4Wh7xzV7vBljiExkq3JhMl1Gfq_0Q8Q_vjXmAM16EIf_-zzOgzX1qQo6Iu2OoBZLor5jeT0zxchz1mMKdfrwIsri4nqhu3x9dvFbrELFbzfIeA_BxyyE2Xc_MzB-FyMb7SJgGD4kCpp12TEIA-guNvhsXyHPw5Y9edRVn_JRGN66I-FRxJvtYly9Tma1h3fyb56TMYfk84KNCMNkRnu3OYLhqSFbAxOgs35xBJmmadcLlyx8H5J-dNU8i7FuLMMTsI9A1EEtrZxsrw7L7r4_mEwRee92mwp6YRGw_cIviX7JwRwNdnIr20_y5Y&drmtype=0
CCTV-8电视剧,http://txycdn4.video.qq.com/1370436702.m3u8?time=1784884018&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIKdz1RFA080O74yK2hHYHtJWHlmIrI17KxQxHC3jk_z-EIHPkAorVBU8ISZMGDLzAl8BcD8ubCRx-Mfc5TTZSSqOL2_3T5fncEHk75cXb9Ezu-WMCNbzlBlX2T65iPwPzQ5rB0Jum0byeaSoEK6hJszcuIq5qHVUiqG68epTn-j1z-V4WZ_4vy2N3HNWImlB2LKY2IgVkg1XdsPddsrYIunhNZZU1dc0WIUJY0oyzfOEuaM1tZ6INjmCx1d-YYc4YUWOLFOG7AxGG7KdICc6ZwInI3d2cS8thkfjFl2ncqEaIYnfDY8LF0OF-Pq1V1Epg7hhLDaVzcwjZuWr9knctanp7XRq3MZlZqRtWC6bZ0AQzdWR66-IE-eqZNK5jQjvouhxtDX_B1y7SQXfMSesHjzkEOsDqPK0aWj78EvD-lvJRqUL6n3Nl1_0dRV0NHu51hIxi7hAUgiH3KIb49DBaFn7yjdpa6yZ9g6fk1PwKjdXviw4t4_28R8mEmULEe_llGdRRCtRh17ObDvrvpYpyTt2Ciw9AEnFOoVihm7upRAVGJwc&drmtype=0
